ride_id,vehicle_type,distance_km,duration_min,avg_speed_kmph,max_speed_kmph,battery_start_percent,battery_end_percent,sudden_stop_count,terrain_elevation_gain_m,temperature_c,rider_age_group,gps_signal_quality,incident_type
1,E-Scooter,4.49,29.33,11.07,11.42,67.0,51.2,1,87.3,27.3,18-25,0.721,Normal
2,E-Bike,0.61,5.3,11.28,17.18,86.6,84.8,2,2.5,19.0,18-25,0.873,Normal
3,E-Bike,5.05,22.46,14.94,20.26,24.7,6.4,1,12.0,18.8,26-35,0.759,Battery_Critical
4,E-Bike,1.81,11.04,10.82,13.04,29.2,26.6,0,58.3,25.4,18-25,0.785,Mechanical_Fault
5,E-Scooter,4.33,22.52,11.77,15.32,38.7,30.7,2,29.4,13.5,46-60,0.856,Hard_Braking
6,E-Scooter,3.97,16.58,16.58,23.43,35.4,13.9,0,12.5,27.4,26-35,0.987,Normal
7,E-Scooter,3.71,35.87,6.14,10.44,71.5,58.7,2,1.5,35.1,36-45,0.748,Normal
8,E-Scooter,7.15,40.97,12.38,19.34,33.6,14.0,0,9.2,27.7,36-45,0.685,Normal
9,E-Scooter,1.72,3.39,21.49,23.92,73.8,68.5,1,0.9,26.4,36-45,0.785,Normal
10,E-Scooter,3.19,8.9,25.9,31.38,84.7,71.4,4,11.2,25.2,36-45,0.938,Hard_Braking
11,E-Bike,6.65,33.99,11.99,17.49,49.0,24.4,1,5.8,38.7,18-25,0.746,Battery_Critical
12,E-Scooter,2.56,5.64,18.13,24.76,58.1,51.3,1,25.0,25.1,26-35,0.816,Normal
13,E-Bike,3.96,21.66,10.9,14.68,20.3,14.9,1,6.4,28.6,46-60,0.607,Mechanical_Fault
14,E-Scooter,5.09,13.71,21.82,31.98,21.5,4.5,4,7.3,37.7,36-45,0.769,Battery_Critical
15,E-Scooter,3.46,15.03,13.31,18.19,83.8,68.4,1,25.1,19.1,46-60,0.874,Normal
16,E-Scooter,2.56,6.78,18.5,22.07,74.3,65.0,1,36.6,23.6,36-45,0.93,Mechanical_Fault
17,E-Scooter,3.0,8.5,18.31,20.25,88.4,84.3,1,28.2,33.7,26-35,0.944,Normal
18,E-Bike,1.43,4.18,11.98,20.66,99.2,94.0,0,5.9,27.8,18-25,0.733,Normal
19,E-Scooter,2.73,11.72,14.16,16.79,72.2,66.8,0,6.8,22.5,36-45,0.597,Normal
20,E-Bike,2.7,8.48,16.27,24.87,28.4,16.9,2,11.8,31.6,26-35,0.81,Hard_Braking
21,E-Bike,5.96,20.31,13.9,22.41,68.2,46.0,2,19.1,25.2,18-25,0.716,Hard_Braking
22,E-Scooter,5.55,26.78,15.32,19.63,97.2,82.0,0,37.4,30.4,18-25,0.903,Normal
23,E-Bike,2.03,4.08,16.41,27.47,54.8,43.5,3,48.2,18.6,60+,0.555,Hard_Braking
24,E-Bike,4.15,23.15,14.88,18.49,55.6,37.9,2,10.3,22.1,46-60,0.655,Normal
25,E-Scooter,2.02,13.66,17.29,17.46,67.6,62.2,2,11.4,31.6,18-25,0.954,Normal
26,E-Bike,2.14,5.93,12.43,14.85,98.9,85.3,0,22.0,24.2,26-35,0.728,Normal
27,E-Bike,3.14,14.52,16.4,23.58,26.2,19.7,0,37.3,7.8,18-25,0.86,Normal
28,E-Scooter,2.0,6.07,19.83,27.27,97.5,91.0,1,19.8,32.0,36-45,0.863,Hard_Braking
29,E-Bike,3.44,13.88,17.65,20.6,25.6,10.1,0,12.2,23.3,18-25,0.5,Battery_Critical
30,E-Bike,2.5,21.35,8.27,14.24,65.1,63.1,1,0.9,36.1,26-35,0.397,Improper_Parking
31,E-Bike,3.27,24.03,8.17,14.17,73.5,61.6,2,7.0,30.7,18-25,0.959,Normal
32,E-Scooter,2.93,11.77,16.65,20.22,69.8,55.3,1,24.1,24.4,26-35,0.746,Normal
33,E-Bike,5.14,26.65,11.42,12.2,73.2,53.9,2,16.1,20.4,26-35,0.757,Normal
34,E-Scooter,10.17,29.33,20.22,26.31,55.7,22.9,1,3.2,29.5,26-35,0.376,Improper_Parking
35,E-Scooter,6.64,17.91,20.35,22.85,72.1,55.8,1,97.7,26.7,36-45,0.712,Mechanical_Fault
36,E-Scooter,3.8,5.14,27.26,36.25,29.0,19.3,1,27.4,26.9,26-35,0.55,Battery_Critical
37,E-Scooter,1.25,2.0,18.06,26.2,49.0,50.3,2,1.7,38.5,26-35,0.801,Normal
38,E-Bike,6.62,38.08,13.55,16.01,94.0,73.4,1,42.0,12.0,36-45,0.946,Normal
39,E-Bike,6.7,25.52,13.64,15.56,47.3,27.3,1,1.7,27.0,18-25,0.666,Normal
40,E-Scooter,2.7,8.37,17.67,26.66,50.5,44.0,1,48.4,30.4,46-60,0.811,Normal
41,E-Scooter,2.46,8.02,14.13,16.02,96.6,82.1,2,9.1,25.7,46-60,0.709,Normal
