trip_id,vehicle_type,distance_km,duration_min,avg_speed_kmph,terrain_elevation_gain_m,temperature_c,humidity_percent,battery_start_percent,rider_weight_kg,traffic_congestion_index,time_of_day,weather_condition,num_stops,energy_consumed_wh
1,E-Bike,4.08,27.43,12.86,2.0,18.3,70.2,57.9,76.5,9.7,Morning,Cloudy,4,130.97
2,E-Bike,3.98,17.72,20.21,58.9,22.7,48.8,20.8,55.6,2.87,Evening,Clear,3,147.89
3,E-Bike,7.13,33.81,15.18,4.4,23.8,35.7,33.3,57.9,5.34,Morning,Clear,3,107.86
4,E-Scooter,5.76,25.06,20.07,41.9,31.2,62.1,29.8,78.6,6.52,Morning,Clear,3,236.69
5,E-Scooter,5.01,27.41,18.73,89.9,21.5,53.2,20.3,75.1,7.42,Evening,Clear,2,236.01
6,E-Scooter,8.17,31.32,19.75,9.8,21.8,61.4,65.9,63.2,4.75,Afternoon,Cloudy,4,201.39
7,E-Bike,7.4,41.35,14.61,10.7,9.0,58.9,80.1,56.9,6.33,Morning,Cloudy,5,165.96
8,E-Scooter,2.92,16.05,22.54,37.2,28.8,61.2,43.5,84.1,8.61,Evening,Clear,0,165.14
9,E-Scooter,4.81,22.44,15.4,27.2,24.1,46.9,59.3,73.9,1.75,Night,Clear,1,150.51
10,E-Scooter,3.13,13.73,24.26,51.6,3.2,60.8,61.6,61.1,7.14,Evening,Rain,4,199.58
11,E-Scooter,4.36,30.02,11.63,37.1,20.4,54.9,50.3,80.2,6.12,Night,Cloudy,1,161.07
12,E-Scooter,0.63,2.22,17.86,30.8,15.6,28.0,36.8,61.6,1.48,Night,Windy,2,76.17
13,E-Bike,2.84,27.79,8.13,4.2,20.2,56.8,22.2,87.9,3.48,Afternoon,Windy,4,62.5
14,E-Scooter,3.81,25.44,15.35,1.5,19.9,61.6,45.6,69.7,8.94,Night,Clear,2,162.56
15,E-Bike,4.07,18.9,15.8,4.5,18.8,26.1,43.7,82.2,1.22,Afternoon,Clear,3,116.29
16,E-Bike,5.84,19.67,16.39,5.2,27.1,26.5,96.8,69.9,0.76,Afternoon,Clear,0,139.33
17,E-Bike,3.73,15.03,18.94,1.5,24.6,53.4,40.0,59.2,2.01,Afternoon,Clear,0,83.75
18,E-Bike,3.99,29.36,12.35,20.1,34.5,57.8,34.2,69.5,7.05,Afternoon,Cloudy,3,105.28
19,E-Bike,5.88,33.28,15.37,50.7,39.7,33.6,46.4,71.6,9.34,Morning,Clear,3,245.84
20,E-Scooter,2.31,12.42,16.76,7.7,33.4,73.0,74.9,49.1,2.8,Night,Clear,3,78.01
21,E-Scooter,2.93,11.7,21.86,0.1,30.5,37.5,99.6,55.5,3.38,Evening,Clear,2,122.48
22,E-Bike,12.73,53.34,15.33,13.9,15.1,76.7,64.3,61.8,3.24,Evening,Cloudy,3,215.36
23,E-Scooter,6.45,24.81,16.47,3.6,32.2,41.8,90.4,82.5,0.33,Evening,Rain,2,182.29
24,E-Bike,3.0,22.19,17.55,4.2,27.4,64.2,29.4,79.0,9.8,Evening,Clear,3,123.19
25,E-Scooter,3.74,14.86,18.52,49.1,20.7,74.0,95.8,59.0,5.15,Night,Clear,1,146.14
26,E-Scooter,0.46,10.74,13.7,0.9,22.5,58.2,48.4,75.9,6.9,Afternoon,Windy,0,60.02
27,E-Scooter,4.82,30.07,13.62,5.6,22.2,35.3,62.4,86.8,5.17,Morning,Clear,2,120.88
28,E-Scooter,3.69,24.96,14.12,20.7,22.7,63.3,77.7,62.8,4.03,Afternoon,Clear,3,129.79
29,E-Scooter,8.95,30.92,17.46,47.3,22.8,56.5,45.3,59.6,1.23,Evening,Clear,0,240.02
30,E-Bike,2.37,8.38,18.35,14.5,25.5,42.5,47.4,76.7,0.46,Afternoon,Clear,0,106.63
31,E-Bike,11.52,56.63,12.6,5.5,39.7,72.8,91.5,76.6,2.38,Evening,Clear,3,224.58
32,E-Scooter,1.59,7.92,19.38,5.2,27.5,66.3,82.0,80.5,1.47,Morning,Clear,0,88.21
33,E-Scooter,4.97,19.79,17.98,,15.0,50.2,71.8,74.7,3.05,Morning,Clear,0,142.93
34,E-Bike,6.14,28.82,16.1,17.9,19.1,50.1,31.4,53.8,7.73,Afternoon,Rain,3,149.11
35,E-Scooter,5.07,44.12,9.43,40.5,24.2,79.7,81.2,83.0,8.79,Morning,Cloudy,4,184.15
36,E-Scooter,3.09,10.68,19.68,10.6,23.5,72.0,47.8,82.5,4.27,Morning,Clear,3,121.65
37,E-Scooter,5.29,27.36,19.01,4.5,27.1,57.4,83.4,73.5,7.31,Afternoon,Windy,1,176.75
38,E-Bike,4.85,33.21,12.98,2.9,30.6,61.3,41.6,55.1,7.22,Night,Windy,4,146.81
39,E-Scooter,7.28,51.04,10.55,21.3,26.6,63.8,94.6,62.4,6.55,Evening,Windy,2,208.54
40,E-Scooter,3.86,24.95,20.78,8.0,22.5,52.8,94.6,47.3,9.81,Morning,Clear,3,138.54
